"","EcoRegion.Domain","Terrain","Incident.Type","Age","Group.Type","Weight..Kg.","Height..Cm.","Build","Physical.Fitness","Mental.Fitness","Experience","Equipment","Personality","Total.hours","Temp.H","Temp.L","Snow","Rain","Subject.Status","Super.Category","Group"
"22","TEMPERATE","MOUNTAINOUS","SEARCH",67,"M",NA,NA,"MEDIUM","FAIR",NA,"GOOD","GOOD",NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"23","TEMPERATE",NA,"SEARCH",NA,"M",NA,NA,"THIN","FAIR",NA,"GOOD","POOR",NA,NA,15,8,NA,NA,"ALIVE","CHILD","NO"
"24","DRY","HILLY","WATER",NA,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,0.96,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"25","DRY",NA,"SEARCH",35,"M",65,178,"THIN","POOR","MODERATE",NA,"POOR","WITHDRAWN",2.88,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"26","DRY","WATER","WATER",70,"M",60,170,"THIN","POOR",NA,"FAIR","FAIR","WITHDRAWN",NA,48,40,NA,NA,"DOA","WATER","NO"
"27","TROPICAL","HILLY","SEARCH",3,"M",NA,NA,"THIN","FAIR",NA,"GOOD","POOR","CONFIDENT",2.88,30,25,"NO","NO","DOA","CHILD","NO"
"28","TROPICAL","MOUNTAINOUS","SEARCH",68,"F",NA,162,"MEDIUM","EXCELLENT","MILD","EXCELLENT","POOR",NA,NA,33,20,"NO","NO","DOA","OUTDOOR","NO"
"29","TROPICAL","HILLY","SEARCH",11,"M",40,150,"THIN","GOOD",NA,"GOOD","POOR","OUTGOING",NA,NA,28,"NO","NO","ALIVE","CHILD","NO"
"30","TEMPERATE","FLAT","SEARCH",80,"M",70,170,"THIN","FAIR","MODERATE","GOOD","POOR",NA,NA,35,30,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"31","TROPICAL","MOUNTAINOUS","SEARCH",18,"MM",70,172,"THIN","GOOD",NA,"FAIR","POOR","UNSURE",12,15,4,"NO","NO","ALIVE","OUTDOOR","YES"
"32","TROPICAL","FLAT","SEARCH",32,"F",60,170,"MEDIUM","FAIR","MODERATE","GOOD","POOR","WITHDRAWN",NA,26,20,NA,"YES","ALIVE","OTHER MENTAL ISSUES","NO"
"33","TROPICAL","FLAT","SEARCH",6,"F",25,120,"THIN","GOOD",NA,"POOR","POOR","WITHDRAWN",NA,NA,28,"NO","NO","ALIVE","CHILD","NO"
"34","TROPICAL",NA,"SEARCH",28,"MM",85,178,"MEDIUM","GOOD",NA,NA,"GOOD","UNSURE",NA,NA,NA,"NO","NO","ALIVE","VEHICLE","YES"
"35","TROPICAL","MOUNTAINOUS","SEARCH",NA,"MF",80,180,"THIN","GOOD",NA,"GOOD","POOR","OUTGOING",NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"36","TROPICAL","FLAT","SEARCH",5,"M",NA,NA,"THIN","GOOD",NA,"POOR","POOR","UNSURE",NA,NA,30,"NO","NO","ALIVE","CHILD","NO"
"37","TROPICAL","MOUNTAINOUS","SEARCH",32,"M",75,180,"MEDIUM","GOOD",NA,"FAIR","FAIR",NA,25.44,27,19,NA,"YES","ALIVE","OUTDOOR","NO"
"38","TROPICAL","HILLY","SEARCH",NA,"MF",72,175,"MEDIUM","GOOD","NORMAL","GOOD","GOOD","CONFIDENT",12,23,20,"NO","NO","ALIVE","OUTDOOR","YES"
"39","TEMPERATE","MOUNTAINOUS","SEARCH",23,"M",65,171,"THIN","POOR","NORMAL","POOR","POOR","UNSURE",NA,26,23,"NO","NO","ALIVE",NA,"NO"
"40","TROPICAL","HILLY","SEARCH",32,"M",80,180,"MEDIUM","FAIR","MILD","FAIR","POOR",NA,NA,30,20,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"41","TEMPERATE","MOUNTAINOUS","SEARCH",9,NA,40,120,"MEDIUM","GOOD",NA,"GOOD","POOR","OUTGOING",11.52,NA,25,NA,NA,"ALIVE","CHILD","YES"
"42","DRY",NA,"SEARCH",32,"M",70,175,"MEDIUM","POOR","MODERATE","POOR","FAIR","WITHDRAWN",NA,NA,NA,NA,NA,"DOA","OTHER MENTAL ISSUES","NO"
"43","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",NA,NA,"MEDIUM","GOOD",NA,"GOOD","EXCELLENT","CONFIDENT",NA,15,3,NA,NA,"ALIVE","OUTDOOR","YES"
"44","DRY",NA,"WATER",NA,"MM",75,167,"MEDIUM","GOOD",NA,"EXCELLENT","POOR","CONFIDENT",50.88,NA,NA,NA,NA,"ALIVE","WATER","YES"
"45","DRY","HILLY","SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,"GOOD",NA,NA,10,5,"NO","NO","ALIVE","VEHICLE","YES"
"46","DRY","HILLY","SEARCH",NA,"MM",NA,NA,NA,NA,NA,"FAIR","POOR",NA,13.44,10,5,"NO","NO","ALIVE","VEHICLE","YES"
"47","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MM",NA,NA,"MEDIUM","FAIR",NA,"GOOD","GOOD",NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"48","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"FF",NA,NA,"MEDIUM","FAIR",NA,"GOOD","GOOD",NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"49","TEMPERATE","HILLY","SEARCH",24,"F",60,140,"THIN","FAIR","SEVERE","FAIR","FAIR",NA,NA,NA,5,NA,NA,"ALIVE","DESPONDENT","NO"
"50","TEMPERATE","MOUNTAINOUS","SEARCH",39,"M",75,180,"MEDIUM","FAIR",NA,"GOOD","POOR","UNSURE",NA,15,3,NA,"YES","ALIVE","OUTDOOR","NO"
"51","TEMPERATE","MOUNTAINOUS","SEARCH",40,"M",95,180,"MEDIUM","GOOD",NA,"GOOD","FAIR","CONFIDENT",28.56,15,4,NA,"YES","ALIVE","OUTDOOR","NO"
"52","TEMPERATE","MOUNTAINOUS","SEARCH",42,"F",65,175,"MEDIUM","FAIR","MILD","POOR","POOR","WITHDRAWN",NA,11,3,NA,"YES","DOA","DESPONDENT","NO"
"53","TEMPERATE","MOUNTAINOUS","SEARCH",36,"M",70,175,"MEDIUM","GOOD",NA,"GOOD","FAIR",NA,NA,14,3,NA,NA,"ALIVE","OUTDOOR","NO"
"54",NA,"FLAT","SEARCH",27,"M",110,188,"MEDIUM","GOOD",NA,"GOOD","EXCELLENT",NA,NA,19,11,"NO","NO","ALIVE","VEHICLE","NO"
"55","DRY","HILLY","SEARCH",28,"F",75,178,"THIN","GOOD",NA,"FAIR","FAIR","OUTGOING",NA,35,NA,"NO","NO","ALIVE",NA,"NO"
"56","TEMPERATE","FLAT","SEARCH",53,"M",NA,NA,NA,NA,NA,"GOOD","POOR",NA,NA,40,28,"NO","NO","ALIVE","OUTDOOR","NO"
"57",NA,"FLAT","SEARCH",23,"M",NA,178,"MEDIUM","FAIR",NA,"GOOD","GOOD",NA,42,25,18,"NO","NO","ALIVE","VEHICLE","NO"
"58","DRY",NA,"SEARCH",49,"M",NA,178,"OVERWEIGHT",NA,"MODERATE",NA,"POOR",NA,NA,NA,NA,NA,NA,"DOA","OTHER MENTAL ISSUES","NO"
"59",NA,NA,"SEARCH",56,"F",NA,157,"THIN","POOR","MILD",NA,"FAIR",NA,NA,16,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"60",NA,NA,"SEARCH",34,"M",NA,185,NA,NA,"MILD","POOR","POOR",NA,NA,32,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"61","TEMPERATE",NA,"SEARCH",30,"M",NA,171,NA,NA,NA,NA,"FAIR",NA,16.56,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"62",NA,NA,"SEARCH",77,"M",NA,170,"THIN",NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE","NO"
"63","TEMPERATE","MOUNTAINOUS","SEARCH",24,"F",60,165,"MEDIUM","FAIR",NA,"FAIR","GOOD","OUTGOING",NA,13,26,"NO","NO","ALIVE","OUTDOOR","NO"
"64","TEMPERATE","FLAT","SEARCH",70,"M",50,175,"THIN","POOR","MILD","FAIR","POOR","WITHDRAWN",NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"65","DRY","MOUNTAINOUS","SEARCH",15,"M",55,165,"THIN","GOOD","MILD","POOR","POOR","WITHDRAWN",6,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"66","TEMPERATE","HILLY","SEARCH",5,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,2.88,NA,NA,NA,NA,"ALIVE","CHILD","NO"
"67","TEMPERATE","MOUNTAINOUS","SEARCH",28,"M",80,180,"MEDIUM","EXCELLENT",NA,"GOOD","EXCELLENT","CONFIDENT",NA,20,15,NA,NA,"ALIVE","OUTDOOR","NO"
"68","TEMPERATE","WATER","WATER",39,"M",75,178,"THIN","FAIR",NA,"GOOD","EXCELLENT","UNSURE",NA,15,10,NA,"YES","ALIVE","WATER","NO"
"69","DRY","MOUNTAINOUS","SEARCH",39,"MM",NA,NA,NA,"GOOD",NA,"FAIR","EXCELLENT",NA,NA,20,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"70","TEMPERATE","MOUNTAINOUS","SEARCH",12,"M",NA,NA,"MEDIUM","FAIR","MILD","POOR","FAIR","WITHDRAWN",NA,20,NA,NA,"YES","ALIVE","OTHER MENTAL ISSUES","NO"
"71","DRY","MOUNTAINOUS","SEARCH",24,NA,NA,NA,"MEDIUM","GOOD",NA,"GOOD","EXCELLENT",NA,49.44,NA,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"72","DRY","HILLY","SEARCH",53,"M",NA,175,"MEDIUM","POOR",NA,"GOOD","GOOD",NA,NA,28,14,NA,NA,"DOA","OUTDOOR","NO"
"73","DRY","FLAT","SEARCH",58,"F",NA,153,"MEDIUM","FAIR",NA,"GOOD","POOR",NA,NA,38,28,NA,NA,"ALIVE","OUTDOOR","NO"
"74","TEMPERATE","FLAT","SEARCH",88,"M",60,160,"MEDIUM","POOR","MODERATE","POOR","POOR","WITHDRAWN",NA,15,10,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"75","TEMPERATE","MOUNTAINOUS","SEARCH",48,"M",NA,NA,"THIN","EXCELLENT",NA,"GOOD","FAIR","CONFIDENT",69.36,12,2,NA,NA,"ALIVE","OUTDOOR","NO"
"76","DRY","HILLY","SEARCH",43,"F",80,170,"OVERWEIGHT","POOR","MODERATE","FAIR","POOR","WITHDRAWN",48,9,1,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"77","DRY","FLAT","SEARCH",68,"M",78,170,"MEDIUM","POOR","MODERATE","POOR","POOR","WITHDRAWN",NA,18,8,NA,"YES","ALIVE","OTHER MENTAL ISSUES","NO"
"78","TEMPERATE","MOUNTAINOUS","SEARCH",42,"M",NA,205,"THIN","GOOD",NA,"FAIR","GOOD","CONFIDENT",47.28,-6,-2,"YES",NA,"ALIVE","SNOW","NO"
"79","DRY","HILLY","SEARCH",85,"M",NA,NA,"MEDIUM","GOOD",NA,"GOOD","FAIR",NA,NA,NA,NA,NA,"YES","DOA","OUTDOOR","NO"
"80","DRY","MOUNTAINOUS","SEARCH",23,"M",NA,NA,"MEDIUM","GOOD",NA,"FAIR","POOR",NA,NA,4,3,"NO","NO","ALIVE","OUTDOOR","NO"
"81","TEMPERATE","MOUNTAINOUS","SEARCH",33,"F",65,172,"MEDIUM",NA,"MILD",NA,"POOR",NA,144,NA,NA,"NO","NO","DOA","OTHER MENTAL ISSUES","NO"
"82","TEMPERATE","FLAT","SEARCH",68,"F",60,165,"THIN","POOR","MODERATE","FAIR","POOR","WITHDRAWN",NA,20,18,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"83","TROPICAL","FLAT","SEARCH",18,"F",60,170,"MEDIUM","POOR","SEVERE","FAIR","EXCELLENT",NA,NA,30,20,"NO","NO","ALIVE","DESPONDENT","NO"
"84","DRY","HILLY","SEARCH",33,"M",NA,NA,"OVERWEIGHT","GOOD",NA,"GOOD","FAIR","OUTGOING",NA,25,10,"NO","NO","DOA","OTHER MENTAL ISSUES","NO"
"85","TEMPERATE","FLAT","SEARCH",20,"M",70,170,"THIN","FAIR",NA,"GOOD","GOOD",NA,42,30,20,"NO","NO","ALIVE","OUTDOOR","NO"
"86","DRY",NA,"SEARCH",30,"M",NA,NA,NA,NA,"MODERATE","GOOD","GOOD",NA,23.04,30,20,"NO","NO","DOA","OTHER MENTAL ISSUES","NO"
"87","DRY","MOUNTAINOUS","SEARCH",29,"M",90,180,"MEDIUM","FAIR","MODERATE","GOOD","FAIR",NA,NA,25,10,"NO","NO","DOA","OTHER MENTAL ISSUES","NO"
"88","TEMPERATE",NA,"SEARCH",69,"M",NA,NA,NA,NA,NA,"GOOD","FAIR",NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR","NO"
"89","DRY","MOUNTAINOUS","SEARCH",70,"M",70,179,"THIN","GOOD",NA,"GOOD","POOR",NA,19.44,20,NA,"NO","NO","ALIVE","OUTDOOR","NO"
"90","DRY",NA,"SEARCH",57,"M",NA,NA,NA,NA,"MILD",NA,"POOR",NA,24,20,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"91","TEMPERATE","HILLY","SEARCH",NA,"F",NA,NA,"THIN","GOOD",NA,"FAIR","POOR",NA,24,30,22,"NO","NO","ALIVE","OUTDOOR","NO"
"92","TROPICAL","FLAT","SEARCH",26,"M",80,176,"THIN","FAIR","MODERATE","FAIR","FAIR","WITHDRAWN",NA,32,17,"NO","NO","DOA","OTHER MENTAL ISSUES","NO"
"93","TEMPERATE","HILLY","SEARCH",27,"F",NA,160,"THIN","FAIR",NA,"GOOD","POOR","UNSURE",13.44,15,8,"NO","NO","ALIVE","OUTDOOR","NO"
"94","TROPICAL","HILLY","SEARCH",60,"M",90,170,"MEDIUM","POOR",NA,"GOOD","POOR",NA,6,30,25,"NO","NO","ALIVE","OUTDOOR","NO"
"95","TEMPERATE","HILLY","SEARCH",29,"FF",NA,NA,"MEDIUM","EXCELLENT",NA,"GOOD","FAIR","CONFIDENT",2.4,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"96","TEMPERATE","FLAT","SEARCH",30,"M",80,170,"MEDIUM","POOR","MODERATE","FAIR","FAIR","WITHDRAWN",NA,40,30,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"97","TEMPERATE","FLAT","SEARCH",42,"M",60,160,"OVERWEIGHT","POOR","MILD","POOR","POOR","WITHDRAWN",19.44,27,20,NA,"YES","ALIVE","OTHER MENTAL ISSUES","NO"
"98","TEMPERATE","FLAT","SEARCH",3,"M",NA,100,"THIN","FAIR",NA,"POOR","FAIR",NA,NA,30,20,"NO","NO","ALIVE","CHILD","NO"
"99","TEMPERATE","FLAT","SEARCH",89,"F",70,160,"MEDIUM","FAIR","MODERATE","GOOD","POOR","UNSURE",NA,30,25,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"100","DRY",NA,"SEARCH",3,"F",20,75,"THIN",NA,NA,"POOR","POOR",NA,1.44,NA,NA,NA,NA,"ALIVE","CHILD","NO"
"101","DRY","FLAT","SEARCH",52,NA,NA,175,"MEDIUM","FAIR",NA,"FAIR","POOR",NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE","YES"
"102","TEMPERATE",NA,"SEARCH",23,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,22.56,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"103","DRY",NA,"SEARCH",42,"F",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,3.84,NA,NA,NA,NA,"ALIVE","DESPONDENT","NO"
"104","DRY",NA,"SEARCH",50,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR","NO"
"105","DRY",NA,"SEARCH",17,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"106","DRY","FLAT","SEARCH",8,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,41.04,35,29,"NO","NO","DOA","CHILD","NO"
"107","DRY","HILLY","SEARCH",3,"F",20,70,"THIN","FAIR",NA,"POOR","POOR",NA,2.88,14,NA,NA,"YES","ALIVE","CHILD","NO"
"108",NA,"MOUNTAINOUS","SEARCH",27,"M",NA,NA,NA,NA,"MILD",NA,"FAIR",NA,4.08,26,17,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"109","TEMPERATE","FLAT","SEARCH",2,"F",10,NA,"MEDIUM","FAIR",NA,"POOR","FAIR","OUTGOING",NA,29,21,"NO","NO","ALIVE","CHILD","NO"
"110","TEMPERATE","FLAT","SEARCH",93,"M",60,170,"THIN","FAIR",NA,"GOOD","POOR",NA,43.92,NA,NA,"NO","NO","DOA",NA,"NO"
"111","TEMPERATE","FLAT","SEARCH",5,"M",25,100,"MEDIUM","GOOD",NA,"FAIR","POOR","UNSURE",0.96,25,20,NA,"YES","ALIVE","CHILD","NO"
"112","TROPICAL","HILLY","SEARCH",16,"M",70,160,"MEDIUM","GOOD",NA,"FAIR","GOOD","OUTGOING",1.68,28,22,"NO","NO","ALIVE","DESPONDENT","NO"
"113","TEMPERATE","HILLY","SEARCH",11,"M",40,140,"MEDIUM","GOOD","MILD","FAIR","POOR","WITHDRAWN",NA,25,19,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"114","TROPICAL","HILLY","SEARCH",4,"F",30,100,"MEDIUM","FAIR","MILD","POOR","POOR","WITHDRAWN",NA,28,18,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"115","DRY",NA,"SEARCH",59,"M",50,170,"THIN","FAIR",NA,"GOOD","FAIR",NA,2.88,NA,NA,"NO","NO","ALIVE","DESPONDENT","NO"
"116","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",85,180,"MEDIUM","FAIR",NA,"GOOD","POOR",NA,NA,7,0,"NO","NO","ALIVE","OUTDOOR","YES"
"117","TEMPERATE","HILLY","SEARCH",29,"FF",NA,NA,"MEDIUM","EXCELLENT",NA,"GOOD","FAIR","CONFIDENT",2.4,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"118","DRY",NA,"SEARCH",NA,"FF",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"119","TEMPERATE",NA,"SEARCH",3,"F",NA,NA,NA,NA,NA,NA,"POOR",NA,2.16,NA,NA,NA,NA,"ALIVE","CHILD","NO"
"120","DRY",NA,"SEARCH",15,"M",NA,NA,NA,NA,"MILD",NA,"POOR",NA,4.08,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"121","DRY",NA,"SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,21.6,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"122","TEMPERATE",NA,"SEARCH",71,"M",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"123",NA,NA,"SEARCH",20,"M",NA,NA,NA,NA,"MILD",NA,"POOR",NA,50.4,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"124","DRY","MOUNTAINOUS","SEARCH",5,"M",NA,140,"THIN","FAIR",NA,"FAIR","POOR","CONFIDENT",NA,19,NA,"NO","NO","ALIVE","CHILD","NO"
"125","DRY",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"126","DRY",NA,"SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"127","DRY",NA,"SEARCH",19,"M",NA,NA,NA,NA,"SEVERE",NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT","NO"
"128","DRY",NA,"SEARCH",31,"M",NA,NA,NA,"GOOD","MODERATE",NA,"POOR",NA,24.96,NA,NA,NA,NA,"DOA","OTHER MENTAL ISSUES","NO"
"129","DRY",NA,"SEARCH",57,"M",NA,NA,NA,NA,"MILD",NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT","NO"
"130","TEMPERATE",NA,"SEARCH",77,"M",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,6.96,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"131","DRY",NA,"SEARCH",83,"M",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"132","DRY",NA,"SEARCH",8,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","CHILD","NO"
"133","DRY",NA,"SEARCH",69,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,24.24,NA,NA,NA,NA,"ALIVE","OUTDOOR","NO"
"134","DRY",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"DOA",NA,"NO"
"135","DRY",NA,"SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","CHILD","YES"
"136","DRY",NA,"SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,"POOR",NA,NA,NA,NA,NA,NA,"DOA","DESPONDENT","NO"
"137","DRY",NA,"SEARCH",80,"F",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,7.68,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"138","TEMPERATE",NA,"SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"139","DRY",NA,"SEARCH",81,"M",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,7.44,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"140","DRY",NA,"SEARCH",81,"M",NA,NA,NA,NA,"MODERATE",NA,"POOR",NA,12,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"141","DRY",NA,"SEARCH",NA,"MF",NA,NA,NA,NA,NA,NA,"POOR",NA,NA,NA,NA,NA,NA,"ALIVE","VEHICLE","YES"
"142","DRY","MOUNTAINOUS","SEARCH",NA,"FF",NA,NA,"MEDIUM","GOOD",NA,"GOOD","EXCELLENT",NA,50.88,NA,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"143","DRY","MOUNTAINOUS","SEARCH",23,"MM",NA,NA,NA,NA,NA,"FAIR","EXCELLENT",NA,NA,20,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"144","DRY",NA,"SEARCH",NA,"AC",NA,NA,NA,NA,NA,"POOR","EXCELLENT",NA,NA,NA,NA,"NO","NO","ALIVE","CHILD","YES"
"145","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",NA,NA,NA,NA,NA,NA,"POOR",NA,2.16,16,NA,"NO","NO","ALIVE","OUTDOOR","YES"
"146","DRY","MOUNTAINOUS","SEARCH",NA,"MM",NA,NA,NA,NA,NA,NA,"GOOD",NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
